jname,cname,ename,jflavor,cflavor,eflavor,correspond
混沌の守護者、ラクドス,混沌护主拉铎司,"Rakdos, Patron of Chaos",「ようやく、拍手を送るに相応しいだけの働きを見せたか！」,「终于有了一场值得我亲自喝彩的演出！」,"""Finally, a performance worthy of my applause!""",
喝破,终结谎言,No More Lies,「嘘は影を蝕みながら繁殖する。我々の仕事はそれらに光を浴びせることだ。」\n――探偵社社長、エズリム,「黯影之中，谎言会不断腐生滋长。我们的任务便是将其曝露在明光之下。」\n～魔调局局长伊泽霖,"""Lies fester and flourish in shadow. Our job is to bathe them in light.""\n—Ezrim, Agency chief",我々
クロールの鞭打ち,刻洛藤鞭手,Kraul Whipcracker,「あの、先輩。証拠の手荒な処理をしたことで彼を法廷へ出頭させるのはいいのですが、彼自身に手などあるのでしょうか？」\n――探偵社の新人探偵、アーガイル,「呃，长官，我们是可以试着用动手毁损证物罪来逮捕他，但我不确定他那算不算有手。」\n～魔调局初级侦探阿格雷,"""Er, sir, we could try to cite him for mishandling evidence, but I'm not sure he technically has hands.""\n—Argyle, Agency junior detective",
物好きな死者,好奇尸身,Curious Cadaver,「死体から学べることは多いって言われたとき、その死体に科学捜査の手順を教わるとは思いもしなかったよ。」\n――ケランからエズリムへ,「我必须说，当你告诉我尸体能教会我很多的时候，我绝没想过是尸体亲自来跟我讲法证规程。」\n～凯澜告诉伊泽霖,"""When you said I could learn a lot from a corpse, I have to admit I wasn't expecting it to lecture me on forensic procedure.""\n—Kellan, to Ezrim",
殺害の強要,受迫杀人,Coerced to Kill,「人々は攻撃を仕掛けるように洗脳されている。彼らを操っている者を見つけなければならない。」\n――アルキスト・プロフト,「民众是被人鼓动了才这样四处攻击。我们必须把幕后黑手找出来。」\n～阿奎斯波费,"""People are being brainwashed into these attacks. We must find the puppet master.""\n—Alquist Proft",
正義の幽霊、アグルス・コス,正义之魂阿固寇斯,"Agrus Kos, Spirit of Justice",「いずれ私が再び引退する日が来る。だが今日じゃない。」,「有朝一日我会再考虑是否要退休。不过不是今天。」,"""Eventually I'll give retirement another shot. But not today.""",私
下生えの偵察者,矮丛侦察,Undergrowth Recon,「昼も夜も犯行現場を見張っていたい。殺人鬼はたまらず現場に戻る予感がしているんだ。」\n――一件落着の会のクーラトニソ,「我要有人日夜盯着这犯罪现场。我感觉凶手会忍不住再回来看看。」\n～寻路侦探社的特伐,"""I want eyes on the scene of the crime, day and night. I have a feeling our killer won't be able to resist coming back.""\n—Thare of the Foundway Associates",
トンネルの情報提供者,隧道情报贩,Tunnel Tipster,「君が追っているホシが地下に潜ったら、僕が居場所を突き止めてあげる。」,「如果你要抓的人往地底逃了的话，我知道能在哪里找到他。」,"""When your perp goes underground, I know where to find 'em.""",僕
検体の収集者,样本收集员,Sample Collector,「ここから脱走したものは少なくとも半分は熊で……トカゲも一部いるようだ。」,「从这里逃出的至少有一半是熊…而且我看还有一部分是蜥蜴。」,"""Whatever broke out of here is *at least* half bear... and I'd say some lizard as well.""",
驕り高ぶる放蕩家,浮夸游荡客,Pompous Gadabout,「そこをどけ、名も無き者どもよ。」,「无名小卒都给我让开。」,"""Stand aside, nobodies.""",
事件現場の分析者,事后分析师,Aftermath Analyst,「誰か証拠札を持ってきてくれないか？できれば……たくさん。」,「谁能再帮我多拿点证据标牌来吗？大概要…很多个？」,"""Could someone bring me more evidence markers? Like . . . a lot more?""",
復讐の追跡者,怨仇追迹人,Vengeful Tracker,「兄弟の仇が檻の外にいるかぎり、軽犯罪者に時間をとられるわけにはいかないんだ。」,「杀害我兄弟的凶手尚未伏法，我绝不会浪费时间去管什么小偷小摸。」,"""I won't waste my time hunting down petty thieves while my brother's killer still walks free.""",
証人燃やし,证人成炬,Torch the Witness,「彼は重要な話をしに、明日私に会う予定だった。これは決して偶然ではない。」\n――一件落着の会のルドラナトワ,「他原定明天要跟我碰面，有些重要情报要给我。这绝对不会是巧合。」\n～寻路侦探社的阿尔戈罗格姆,"""He was scheduled to meet me tomorrow with something important to share. This was no coincidence.""\n—Algrom of the Foundway Associates",私-
疑惑の爆発,可疑爆炸,Suspicious Detonation,「どう見たって、誰かがこれを見つけてもらいたがっている。」\n――一件落着の会のラツニスイヤ,「显然有人希望我们留意到这个。」\n～寻路侦探社的尔努库伐,"""Clearly someone wanted us to find this.""\n—Runubi of the Foundway Associates",
瓦礫帯の自慢屋,瓦砾区吹嘘客,Rubblebelt Braggart,「やったぜ！二人……いや、三人殺しだ！建物に火を放ってやった。ああ、全部俺の手柄さ。」,「我干的！两条～不，三条人命！就在我点着的那栋楼里。全是我干的。」,"""I did it! Double—no, triple homicide! In a building I set on fire. Yep, all me.""",俺
赤ニシン,扰神红鱼械,Red Herring,「飛行機械は数ある自立型監視案の一つに過ぎません。」\n――カイロックス,「我们有许多自动化布控方案，扑翼机不过是其中一种。」\n～奇洛兹,"""Thopters are but one option in our suite of autonomous surveillance solutions.""\n—Kylox",
火炎術の演出者,烟火表演者,Pyrotechnic Performer,「パーティはこれからよ。」,「让我们开始派对。」,"""Let's get this party started.""",
罪なき傍観者,无辜旁观客,Innocent Bystander,「おっと、道を間違えたようだ！お構いなく！別に僕は君たちの……とても鋭いナイフなんて見てないからね。」,「哎呀，我想回我自己街上但走错路了！不用管我！我马上就走，你们慢慢忙…磨你的刀。」,"""Whoops, this isn't my street! Don't mind me! I'll just be on my way while you enjoy your . . . very sharp knives.""",僕
ゴブリンの仮面職人,鬼怪面具师,Goblin Maskmaker,「自分の顔を見せられないときは、うちのを使うといい！」,「如果你露不了自己的脸，不妨来试试我的脸！」,"""When you can't show your own face, try one of mine!""",うち
点と点を繋ぐ,连点成线,Connecting the Dots,「なぜ気づかなかったのだろう？答えはずっと、私の目の前にあったのだ！」,「我怎么就没看见呢？原来答案一直就近在眼前！」,"""How could I have missed it? The answer was right in front of me all along!""",
現行犯,遭抓现行,Caught Red-Handed,「待て、やめてくれ！はめられたんだ！完璧に騙されたんだよ！」,「等等，住手！我是被冤枉的！千真万确！」,"""Wait, stop! I've been framed! Extremely convincingly!""",
毒素の分析,毒理分析,Toxin Analysis,「これだけ致死性の高い毒を使うのはオクランだけよ。ゴルガリが裏で糸を引いているか、そう思わせたい者がいるかのどちらかね。」,「只有瓯坎的人才会用上这般猛烈的毒药。要么这就是葛加理干的，要么是有人想让我们以为是他们干的。」,"""Poison this deadly is only used by the Ochran. Either the Golgari are behind this, or someone wants us to think they are.""",
うなる大殺犬,咆哮血腥猎犬,Snarling Gorehound,「君の犬におやつをあげたいところだが、残念ながら肉が余っていないものでね。」\n――アルキスト・プロフトからジュディスへ,「我真的很想喂喂你的狗，但可惜我没带多余的器官。」\n～阿奎斯波费告诉裘蒂丝,"""I'd offer your dog a treat, but I'm afraid I don't have any appendages to spare.""\n—Alquist Proft, to Judith",
ぬめる双頭ヒル,泥泞双头蛭,Slimy Dualleech,「中々立派だろう？手際良く死体を処分するならこいつが一番さ！一頭が嚙みついている間にもう一頭が貪り喰うんだ。」\n――ゴルガリのヒル飼い、グローガス,「厉害吧？它是我最高效的毁尸怪！一个脑袋咬，一个脑袋嚼。」\n～葛加理育蛭人格噶斯,"""Isn't it gorgeous? It's my most efficient corpse eliminator! One head bites while the other chews.""\n—Glogus, Golgari leechbreeder",
闇討ち,暗中杀出,Slice from the Shadows,「プロフトは余計なところに首を突っ込んでるみたい。彼を始末してちょうだい。」\n――ジュディスから虐殺少女へ,「波费最近的手伸得有些长。我想让他少管闲事。」\n～裘蒂丝叮嘱杀戮女郎,"""Proft has been poking his nose where it doesn't belong. I want him out of the way.""\n—Judith, to Massacre Girl",
常習犯,累犯恶徒,Repeat Offender,「あの似顔絵捜査官ったら、腕が良すぎるのよ。しばらく身を潜めないといけないみたいだね。」,「这该死的素描画师画得也太像。我得低调一小段时间了。」,"""Blasted sketch artist did too good a job. Looks like it's time for me to lie low for a little while.""",
推定死亡,认定死亡,Presumed Dead,「地底街の水路からは死体が毎日引き揚げられる。そのうちのひとつが私だと思うだろう。」,「地底城运河里每天都会捞起新尸体。他们会把其中某具当成我的。」,"""Corpses are pulled from the undercity canals every day. They'll assume one's mine.""",私
名うての殺人鬼、虐殺少女,知名凶手杀戮女郎,"Massacre Girl, Known Killer",「私がやったのかって？何のことか具体的に言ってくれないと。」,「『这是我干的吗？』你得具体说是哪件事。」,"""'Did I do it?' You'll have to be more specific.""",私
死の再構築,骇人重筑,Macabre Reconstruction,「目撃者の証言ならもう間もなく！あとは目の再生を終わらせるだけですので。」\n――探偵社の検視官、ネロ,「下一个就轮到目击证人出庭作证了！让我先把他的眼睛重生出来。」\n～魔调局验尸官涅洛,"""Eyewitness testimony, coming right up! Just let me finish regenerating their eyes.""\n—Nelo, Agency coroner",
探偵社の検視官,魔调局验尸官,Agency Coroner,「死因は大体察しがつくが、それ以外で何かあるかね？」,「嗯，死因看起来很明显，但你还能告诉我些什么呢，朋友？」,"""Well, cause of death seems pretty straightforward, but what else can you tell me, friend?""",
唐突な後戻り,突发挫败,Sudden Setback,「安心したまえ、君を疑っているわけじゃない。ただひとつ聞きたいことがあるん――」,「听我说，兄弟，你没惹上麻烦。我只是想问你个问～」,"""Look, buddy, you're not in trouble. I just wanna ask you a questio—""",
推理,常理推断,Deduce,プロフトは、不意に素晴らしい贈り物を受け取ったかのように顔が明るくなった。「犯人が誰かわかったぞ。」彼は言った。「証拠を見せてやろう。」,波费眼前一亮，就像有份惊喜大礼摆在面前。「我知道这是谁干的了，」他说。「而且我能证明。」,"Proft lit up like a man who had just been handed a glorious and unexpected gift. ""I know who's responsible for this,"" he said. ""And I can prove it.""",
ウォジェクの調査員,沃耶克调查员,Wojek Investigator,「なるほど、これは知人の痕跡とは明らかに違う……」,「嗯，这显然不是从我认识的人身上掉下来的…」,"""Well, this clearly didn't come from anyone I know...""",
歴戦の相談役,老练顾问,Seasoned Consultant,「手掛けている仕事に何よりも忠実な同僚と働けるのはありがたいこと。」\n――一件落着の会のイジドリツド,「我喜欢跟忠于手头工作的同事合作。」\n～寻路侦探社的斯库拉因德,"""I appreciate working with associates whose greatest loyalty is to the job at hand.""\n—Skurad of the Foundway Associates",
やらせはしない,所视必管,Not on My Watch,「ねえプロフト、今まできな臭い事を色々やったけど、さすがに私だって、思い上がった探偵の人助けに手を貸すほど落ちぶれてないから。」,「波费，你知道吗，虽然我这辈子已经干过许多亏心事，但帮一位自大侦探救人性命，就连我都觉得很没面子。」,"""You know, Proft, I've done a lot of questionable things in my life, but helping a pompous detective save lives is a new low, even for me.""",私
内通者,内部线民,Inside Source,「私ははじめからここにいなかったよ。」,「我没来过。」,"""I was never here.""",私
ハズダーの自警団,哈兹达警卫,Haazda Vigilante,「ボロスを呼びたきゃ呼べばいい。巡回に寄越すための頭数を揃えている間に、おいらが盗人どもを叩きのめしているだろうがな。」,「你要报官找波洛斯就去报。等他们还在研究是否有人手出队巡逻时，我早就已经把那些抢劫你的混蛋打得满地找牙了。」,"""Call the Boros if you want. While they figure out if they have enough people to send a patrol, I'll be out clobbering the lowlifes who robbed you.""",おいら
古代の化身,古迹菁华,Essence of Antiquity,ラヴニカのような古い街では、歴史そのものがひとり歩きする――それが思いもよらない時であっても。,像拉尼卡这样年头悠久的城市，历史都能活出真我～甚至是在你最不希望看到的时候。,"In a city as old as Ravnica, history takes on a life of its own—even when you least expect it.",ひとり
世慣れた見張り、デルニー,街头监哨德雷尼,"Delney, Streetwise Lookout",「僕が何を知っているかは問題じゃない。君にそれを教えるだけの価値があるかが問題だ。」,「我知道什么不重要。是不是值得花时间跟你说才重要。」,"""It's not a matter of what I know. It's a matter of making it worth my while to tell you.""",僕
驚くべき証人の喚問,突召人证,Call a Surprise Witness,「たかが死ごときで、私が組織の運営を止めるとでも思ったの？私は遠い、遠い未来までここにいるわ。」,「死亡这种小事，又怎能阻止我继续统领欧佐夫集团？我会在这个位置待上很久、很久。」,"""Why would a little thing like death stop me from running the Syndicate? I'm going to be here for a long, long time.""",私-私
関係者の集合,召集选手,Assemble the Players,「すべてはいずれ解き明かされることになるが、これだけははっきりと言える。殺人犯はこの部屋の中にいる誰かだ。」\n――アルキスト・プロフト,「一切很快就会真相大白，不过我现在就能跟你们说：凶手就在我们身边，就在这间屋内。」\n～阿奎斯波费,"""All will soon be made clear, but I can give you this: our killer is here with us, in this very room.""\n—Alquist Proft",
異議あり,对点反论,Counterpoint,「筋は悪くないが、穴は突かせてもらおう。」,「想法不错，但我得在上面戳几个洞。」,"""Nice theory, but I'm going to have to poke some holes in it.""",
衝撃的な展開,镇场惊喜,Showstopping Surprise,「お行儀のいい拍手よりも、息を吞む音や悲鳴の方が好きよ。」\n――ジュディス,「相比礼貌的掌声，我更喜欢惊呼与尖叫。」\n～裘蒂丝,"""I prefer gasps and screams to polite applause.""\n—Judith",
複製押さえ,复体捕捉灵,Copy Catchers,「記録作業を邪魔してるのか、整理整頓を助けてくれているのかは正直のところわからない。」\n――探偵社職員、クルーノ,「说实话，我也不知道他们是在破坏档案还是想帮我整理。」\n～魔调局文员克纶诺,"""I honestly don't know if they're sabotaging our records or trying to help me sort.""\n—Kruno, Agency clerk",
カーンの拠点,卡恩关堡,Karn's Bastion,「私はここにいる全員を守ることはできないが、守れる者は守る。」\n――カーン,「我无法保护所有人。但所有能保护的，我都会尽力而为。」\n～卡恩,"""I can't protect everyone here. But those I can, I will.""\n—Karn",私-
巨体原形質,庞巨原生质,Gigantoplasm,「こちらの期待を超えるものは、ありがたいわね。」\n――ミジックス,「我喜欢远超期望的东西。」\n～米捷兹,"""I appreciate things that exceed expectations.""\n—Mizzix",こちら
ギルドパクトの印章,十会盟印,Seal of the Guildpact,「私はギルド同士が剣を持って街路で争うより、政権の場で言葉を尽くして論争することを望む。」\n――ジェイス・ベレレン,「我宁愿看着公会在权力大厅上斗嘴，也不愿见到街头动武。」\n～杰斯贝连,"""I'd rather see the guilds contend together with words in the halls of power, than in the streets with swords.""\n—Jace Beleren",私
引き裂くシャーマン,粉碎祭师,Sunder Shaman,「お前ら、俺たちの自然奪う。俺たち、お前らの街奪う。」,「你们夺走我们的荒野，我们就夺走你们的城市。」,"""You take our wilds, we take your city.""",俺たち-俺たち
空騎士の軍団兵,空骑士军团兵,Skyknight Legionnaire,「堅苦しい歩調で進む兵士の軍団と、稲妻のように飛ぶロック鳥の背中で叫ぶ空騎士の声と、どっちがより誇りを与えてくれるのかはわからぬ。」\n――ラジア,「我不确定究竟是哪一项更让我骄傲：是无数士兵如雷霆般的行军步伐，亦或驾驭洛克鸟的空骑士似闪电般掠过长空。」\n～拉基雅,"""I do not know which gives me more pride: the legions of soldiers marching in thunderous lockstep, or the cry of the skyknights riding their rocs like jagged lightning overhead.""\n—Razia",
セレズニアの福音者,瑟雷尼亚福音师,Selesnya Evangel,「都市の喧騒はあらゆる声を飲み込んでしまいます。しかし我らの歌は、ラヴニカの最も高い尖塔から最も深い井戸まで、共に調和をもたらすことができるのです。」,「城市的喧嚣将所有的声音淹没。但我们的和声齐唱，将回荡于拉尼卡最高的塔、最深的井。」,"""The clamor of the city drowns all voices. But together we can sing a harmony that will resonate from Ravnica's tallest spires to her deepest wells.""",我ら
化膿,腐烂,Putrefy,「生きてようが何だろうが、時間が経てば腐るんだ。俺らは単にその速度を速めてるだけだ。」\n――ゴルガリの腐敗農夫、イーゾック,「不论是否复生之物，所有东西都会随时间推移而腐朽。我们只是让过程加速而已。」\n～葛加理腐尸农夫伊作,"""All matter, animate or not, rots when exposed to time. We merely speed up the process.""\n—Ezoc, Golgari rot farmer",俺ら
夜帷の捕食者,夜篷掠食者,Nightveil Predator,「三本の短剣が天使の背に残され、三人の執行官の記憶が失われ、三本の鍵が私のベルトから盗まれたというのに、あなたは平和を語るのですか？」\n――タージクからオレリアへ,「天使的背上插着三把匕首，三名执法者的记忆缺漏，本人的腰带上有三把钥匙被偷～这时跟我谈和平？」\n～塔疾克质问欧瑞梨,"""Three daggers left in an angel's back, three enforcers with memory loss, three keys stolen from my own belt—and you talk of peace?""\n—Tajic, to Aurelia",
アゾリウスの造反者、ラヴィニア,俄佐立变节者拉温妮,"Lavinia, Azorius Renegade",「ジェイスに、ちゃんと責任を取らないとラヴニカが崩壊してしまうと言ったの。それが本当になってしまうなんて。」,「我曾告诉杰斯，如果他不认真肩负起自己的责任，拉尼卡便会分崩离析。我多希望自己错了。」,"""I told Jace that Ravnica would fall apart if he didn't take his responsibilities seriously. I didn't want to be right.""",
幽霊議員カルロフ,鬼影议会的卡洛夫,Karlov of the Ghost Council,「テイサの企みなど、儂が何も知らぬと思っておるのか？野心をいだくのは、血筋のなせる業か。」,「泰莎以为我看不出她的阴谋吗？野心可是本家族代代相传的。」,"""Does Teysa think me blind to her scheming? Ambition runs in our family.""",儂
ゴルガリの拾売人,葛加理弃物贩商,Golgari Findbroker,「我々は地上に住む者たちの過去を集め、それを売り返すのだ。」,「我们收集地上居民的过往，再卖回给他们。」,"""We gather the past from surface dwellers and sell it right back to them.""",我々
脚光の悪鬼,脚灯邪鬼,Footlight Fiend,「この脚光は壊れているわ。裏方を呼んできなさい！」\n――ジュディス,「这盏脚灯坏了。给我把舞台工找来！」\n～裘蒂丝,"""This footlight's broken. Get me a stagehand!""\n—Judith",
議事会の騎兵,盟会骑兵,Conclave Cavalier,「葉が散って木に再び花が咲くように、いつの日か私が散っても議事会は続くだろう。」,「叶落枝复繁，就算我哪天倒下，盟会亦将长存。」,"""Just as leaves fall and the tree blooms again, one day I will fall and the Conclave will endure.""",私
カルテルの貴種,联会豪族,Cartel Aristocrat,「お前の命にはより高尚な役目が生まれた。私の命を永らえさせるというな。」,「你的生命现在有更高的目的：确保我的生命得以延续。」,"""Your life serves a higher purpose now: ensuring the continuation of my own.""",私
自然の伝令、イェヴァ,自然传令使叶娃,"Yeva, Nature's Herald",「私は、瞬きする間に軍勢を呼び寄せることも出来るわ。瞬きしないことね。」,「只要一眨眼的功夫，我就能让整个部队来到身边。你最好别眨眼。」,"""I can call an army to my side in the blink of an eye. Best not blink.""",私
圧倒,压服,Overwhelm,「我らのとどろく韻律が天に届くよう、セレズニアの歌を歌いましょう！」,「让瑟雷尼亚之歌声与我们大军行进的鼓动一同飘扬！」,"""Let the song of Selesnya be heard above the rhythm of our thundering hordes!""",我ら
菌類の再誕,真菌再生,Fungal Rebirth,「結局あたしたちはみな何かの餌なのさ。」\n――ゴルガリのシャーマン、セヴリヤ,「我们终究会成为某些东西的养料。」\n～葛加理祭师习拉雅,"""We're all food for something in the end.""\n—Cevraya, Golgari shaman",あたしたち
強制順応,受迫适应,Forced Adaptation,「我々は変革の種を植えているのだ。ときにはその種を人体にも植える。」\n――育殻組のヴォレル,「我们正在散播改变的种子。有时候，我们会种在人身上。」\n～壳进化组的沃瑞,"""We're planting the seeds of change. Sometimes, we plant them in people.""\n—Vorel of the Hull Clade",我々-
遥か見,远眺,Farseek,「この都市は本当になんて巨大なんだろう。あちこちを旅して様々な物を見てきたけれど、どこを見ても建物が続いているよ。」,「这城市究竟广大到什么地步呢？我已旅行了那么远，看了那么多，却还没找到毫无建物的地方。」,"""How truly vast this city must be, that I have traveled so far and seen so much, yet never once found the place where the buildings fail.""",
樹上の草食獣,树栖食草兽,Arboreal Grazer,「暴君を止めるための戦いは、自分の世界に何が起きているか知りもしないおとなしい生き物のためでもあるわ。」\n――ビビアン・リード,「我们为击倒暴君而战斗，同时也为了那些温顺的生物而战斗；它们无法理解是何等灾难降临自己世界。」\n～薇薇安瑞德,"""We fight to stop a tyrant, but we also fight for the gentle creatures who have no concept of what befalls their world.""\n—Vivien Reid",
ブリキ通りの身かわし,锡街躲闪客,Tin Street Dodger,「あの巨人、俺を捕まえるどころか気付きもしなかった！あいつの臭いが分かるほど近くにいたのに！まあ、当然だけどな。」,「那个巨人根本就没看见我，更别说逮住我！我都近得能闻到他身上的味道了。当然，这没什么好炫耀的。」,"""That giant didn't even see me, let alone catch me! And I was close enough to smell him! Of course, that's not saying much.""",俺--
瓦礫帯のマーカ,瓦砾区玛卡兽,Rubblebelt Maaka,「争いが続く中、マーカはあたしたちによく従ってくれるよ。あの子には餌を与える必要すらないんだ。敵が餌になってくれるからね。」\n――グルールのシャーマン、ネジャ,「现在时机不好，但玛卡兽依然对我们忠心耿耿。我们甚至不必喂它们，因为靠敌人就行了。」\n～古鲁祭师娜恰,"""The maaka remain loyal to us in this time of strife. We don't even have to feed them—our enemies do.""\n—Nedja, Gruul shaman",あたしたち-
誘導稲妻,导向闪电,Homing Lightning,「俺には無数の世界が見えている。あいつらひとつの世界に留まってるくせに、見つからないとでも思ってるのかね？」\n――ラル・ザレック,「我能看到的世界数之不尽。它们怎么会觉得我无法在一个世界中将其尽寻？」\n～拉尔查雷克,"""I see countless worlds. What makes them think I can't find them in just one?""\n—Ral Zarek",俺-
破砕,毁坏,Demolish,「奪われた土地は必ず取り戻す。そうでなければ焼き尽くす。あいつらには何も渡してはならない。」\n――オレリア,「他们从我们手中夺走的每一寸土地，抢不回来的就给我烧干净。什么都不给他们留下。」\n～欧瑞梨,"""For every inch of land they take from us, we take it back or we burn it. Give them nothing.""\n—Aurelia",
究極の価格,终极代价,Ultimate Price,「俺達への支払いを怠ったらどうなるか、こいつを戒めとしようじゃないか。」\n――オルゾフの暗殺者、「欺し屋」,「他的下场就是拖欠我们债务者的榜样。」\n～欧佐夫杀手「大骗徒」,"""Let him be an example to others who would default on their debts to us.""\n—""The Cozen,"" Orzhov assassin",俺達
疫病造り師,播疫师,Plaguecrafter,「我が力はある意味寛大なのだ。生き延びた者たちに、生命への感謝を与えている。」,「我的能力可谓慷慨。我让从我手下幸存的人对生命心怀感恩。」,"""My power is generosity, in a way. I give my survivors an appreciation for their lives.""",我--
最後の喘ぎ,最终喘息,Last Gasp,「息が詰まるなら吸い取ってやろう。」,「让我替你喘口气。」,"""Allow me a moment to catch your breath.""",
不正相続,不当遗产,Ill-Gotten Inheritance,「他人の苦しみなど私には関係ない。」,「别人是否受罪与我无关。」,"""The suffering of others is not my concern.""",私
